fips	low_birthweight_percentage	food_environment	physical_exercise_opportunities	teen_births	limited_healthy_access	stis	uninsured	primarycare_ratio	dentist_ratio	mentalhealth_ratio	otherproviders_ratio	HS_completion	some_college	disconnected_youth	unemployment	income_inequality	children_freelunches	single_parent_households	social_associations	water_violations	high_housing_costs	housing_overcrowding	segregation_black_white	segregation_nonwhite_white	homeownership	severe_ownership_cost	smoke_perc	obesity_perc	inactive_perc	drinking_perc	Food_Insecure_perc	preventable_hospitalization	mammogram_perc	flu_vaccine_perc	children_poverty_percent	median_income	Violent_crime	air_pollution	drive_alone_perc	long_commute_perc	traffic_volume
12119	0.0905808004814926	8.1	0.820905587668594	0.0448667194510425	0.0428402585559837	0.00176566931650222	0.119044533713447	2663.0851064	3901.6363636	2575.08	1893.4411765	0.854838709677419	0.405058928940658	0.165271044513001	0.0509586760987164	3.70958883496972	0.595070015044555	0.348552465957203	5.1132505093276e-4	1	0.105338809	0.0088128039	59.75294611	48.230395962	0.897594992312761	0.100972846847186	0.12	0.29	0.22	0.13	0.12	5155	0.54	0.47	0.27	55324	212	8.3	0.75	0.33	49
12127	0.0864284872066973	6.8	0.887855266855778	0.0227472280644437	0.132672411291709	0.00394659657095335	0.14622956268618	1455.9243243	2097.8467433	728.10904255	1164.9744681	0.770722352439804	0.607246351663225	0.0658400133600534	0.037373884840139	4.32945827646256	0.646721519791601	0.399772038108346	7.4996472938153e-4	1	0.167253741	0.0136622668	51.345881253	39.286442417	0.701129187501467	0.161863134787349	0.18	0.3	0.29	0.16	0.14	4633	0.45	0.42	0.18	50285	428	7.6	0.81	0.35	256
12131	0.0738280508635415	7.6	0.660919644641462	0.0344088117750268	0.055328784197809	0.00365625365625366	0.176417233560091	1899.3333333	2230.46875	1427.5	1456.6326531	0.827225130890052	0.597622879782097	0.101803155522164	0.0308706435191228	4.86021320495186	0.524166314900802	0.284984217646175	0.00106762606762607	1	0.1353620147	0.0439786272	43.526074198	24.944153452	0.739671610169492	0.142952967171717	0.21	0.32	0.32	0.17	0.14	6816	0.38	0.38	0.19	60973	362	10.1	0.79	0.42	102
12133	0.0782352941176471	5.6	0.333668059125964	0.0412926391382406	0.221406211680591	0.00504742133756665	0.165704910613261	4094.5	3110	4976	1130.9090909	0.778210116731518	0.435804153403062	0.138983050847458	0.0382056451612903	4.51298582811265	0.612066270709597	0.357585779247623	0.00105833028045752	1	0.1031346036	0.017921147	35.48510987	25.647800775	0.774516737388025	0.112251443232842	0.23	0.38	0.36	0.16	0.17	6438	0.31	0.31	0.32	39225	190	10	0.87	0.51	41
13001	0.0970641102456561	7.3	0.19960517657381	0.0586108959462949	0.0677304136433428	0.00480535608228497	0.191453566621804	2645.8571429	6169	1321.9285714	1088.6470588	0.887550200803213	0.415862068965517	0.210280373831776	0.0434542237947811	4.76018474656561	0.903819730695246	0.401315789473684	0.00118784082932887	0	0.0827376426	0.0320417288	42.007978275	36.536137206	0.730469919185873	0.088159171789065	0.2	0.39	0.38	0.14	0.15	7237	0.35	0.31	0.34	42781	379	10.6	0.82	0.27	37
13009	0.12624254473161	6	0.638451443569554	0.0163036636031726	0.0931984512401575	0.0071037277869327	0.159126365054602	1796.24	2490.1666667	722.9516129	1093.2439024	0.923357664233577	0.554645607877547	0.0761212121212121	0.0503875968992248	6.09098888238736	0.73799961751769	0.490583804143126	8.0167460918362e-4	1	0.1938369781	0.0160579345	15.064558077	16.706690828	0.558615556382583	0.209745620511444	0.2	0.37	0.26	0.14	0.21	4560	0.39	0.41	0.31	42727	689	11.4	0.85	0.24	90
13013	0.0731347289318304	8.4	0.652558132829732	0.0254465378027893	0.0510555135381377	0.00359216301336942	0.168728080936368	4650.6470588	5772.0714286	6734.0833333	2693.6333333	0.862884160756501	0.55612199266613	0.116384751325423	0.0328501197529308	3.70661141736653	0.580712940153601	0.33426594021499	6.7036844967809e-4	0	0.115676359	0.0214583333	34.289457357	24.595017589	0.727003436154666	0.115062507585872	0.17	0.38	0.29	0.17	0.1	5278	0.39	0.46	0.15	61413	497	11.1	0.83	0.54	42
13015	0.0795543175487465	7.3	0.666234012600218	0.0315555745334984	0.141054317012291	0.00464523007215337	0.179247066674081	2387.5909091	3040.2285714	872.19672131	1282.0240964	0.881278538812785	0.545595739960062	0.0997304582210243	0.0377945842396185	4.1380829661651	0.549490699734278	0.311428909112398	7.4247529841795e-4	0	0.1213504912	0.0282269115	35.909717621	28.237198204	0.660116195014859	0.121961936670969	0.19	0.31	0.32	0.18	0.11	6686	0.39	0.48	0.17	57409	468	11.2	0.82	0.43	149
13017	0.13625	5.6	0.392877395939662	0.0558503211393466	0.133770359039356	0.00658978583196046	0.162682554675579	2124.5	2797.8333333	2797.8333333	1119.1333333	0.798076923076923	0.496551724137931	0.242540904716073	0.0588235294117647	4.83924983255191	0.98488188976378	0.502999538532533	7.0604848199576e-4	0	0.2030612245	0.0069767442	24.451239285	26.070403108	0.594458821738469	0.138179986568167	0.21	0.4	0.39	0.13	0.21	5991	0.37	0.37	0.41	35020	361	10.7	0.85	0.19	47
13021	0.132709807886754	5.7	0.751174886047304	0.0415868454661558	0.108663596739249	0.00997631850950531	0.144036174026397	760.50746269	1664.076087	556.70909091	422.91436464	0.787860208461067	0.598739985999845	0.0982532751091703	0.0452089233080969	6.41054627159107	0.98897580350991	0.540677875917846	0.00131491148879381	0	0.1910092074	0.0206914615	54.691000512	52.264402374	0.525978279606964	0.18793986513873	0.19	0.37	0.31	0.13	0.22	5329	0.46	0.42	0.37	41390	501	11.3	0.82	0.22	430
